name,symbol,market_cap
Kava.io,KAVA,323880456.57740206
KLAYswap Protocol,KSP,321486068.9027903
Fetch.ai,FET,321248192.5277169
Numeraire,NMR,319334821.8881454
Anchor Protocol,ANC,316981543.0049934
Sologenic,SOLO,312289476.9974975
IoTeX,IOTX,311718164.4795542
Alien Worlds,TLM,311011100.3978986
FUNToken,FUN,308354211.2122561
NKN,NKN,305362720.741266
Ardor,ARDR,303295605.07997894
Klever,KLV,302902236.5407308
ABBC Coin,ABBC,302231707.2935157
Dawn Protocol,DAWN,301276620.2584679
Bridge Oracle,BRG,290845837.6880023
StormX,STMX,289906388.25144047
Toko Token,TKO,289602563.34895015
BitShares,BTS,283512464.0926068
MCO,MCO,278779355.9004855
DODO,DODO,277512781.9441483
Electroneum,ETN,276975733.1738376
Steem,STEEM,276256928.09478307
Aragon,ANT,276158627.07474315
Orion Protocol,ORN,276054377.7100183
SingularityNET,AGI,275625067.46865535
Hellenic Coin,HNC,271366850.63288724
Akash Network,AKT,268385550.95539746
Civic,CVC,266842875.32238787
WINkLink,WIN,265211780.11729214
Celer Network,CELR,261871132.04425582
WAX,WAXP,261683726.77321896
ZKSwap,ZKS,259519374.88619474
Band Protocol,BAND,258017639.40392894
The Sandbox,SAND,257715999.5146421
Persistence,XPRT,257171428.63857505
Ampleforth,AMPL,256124810.8313675
Komodo,KMD,251431906.2558803
RedFOX Labs,RFOX,251359870.18340907
COTI,COTI,251074570.34993413
Wanchain,WAN,250108685.75111717
Audius,AUDIO,248724302.43002042
Haven Protocol,XHV,248369619.25826705
MaidSafeCoin,MAID,242747522.18277425
Utrust,UTK,241277570.51270398
Orbs,ORBS,237944597.42403233
Linear,LINA,237888779.65804532
NuCypher,NU,235520804.3411732
ZB Token,ZB,235011442.65520674
Unibright,UBT,233474210.05810338
Sora,XOR,232928751.31270897
Hoge Finance,HOGE,229927946.58032072
Velas,VLX,229389645.7064555
MATH,MATH,228496007.97607845
Newscrypto,NWC,227898721.09572852
CasinoCoin,CSC,227601685.7252
RChain,REV,227468748.29223546
Vai,VAI,227403254.40515792
Bytom,BTM,226305808.92486128
MediBloc,MED,223746026.00574994
Keep Network,KEEP,222477738.44139883
JUST,JST,221719311.77152213
MyNeighborAlice,ALICE,219093940.84955627
Badger DAO,BADGER,216949019.96654618
Travala.com,AVA,211352846.3197176
Perpetual Protocol,PERP,205192391.74954438
Function X,FX,205158828.070968
GNY,GNY,203262926.59268954
Kin,KIN,202584775.8349281
MVL,MVL,200153240.49291846
Ampleforth Governance Token,FORTH,199952425.57050988
SafePal,SFP,198815064.64517155
Uquid Coin,UQC,197159838.7646037
Phala Network,PHA,196040908.68462217
OriginTrail,TRAC,193869169.04223967
TrustSwap,SWAP,192588008.21476802
Orchid,OXT,192561211.3327105
Metal,MTL,192410135.34217668
Polkastarter,POLS,192307339.7897493
Rocket Pool,RPL,189226646.84112096
Syscoin,SYS,188751139.37023008
aelf,ELF,188526950.29614836
CRYPTO20,C20,188290013.06860715
Syntropy,NOIA,187008786.4870704
Ellipsis,EPS,185710009.2318885
Hive,HIVE,184241119.32885292
TitanSwap,TITAN,182104173.36192423
Ark,ARK,182087023.613973
Polymath,POLY,180195404.04415697
Trust Wallet Token,TWT,179874025.60583246
ERC20,ERC20,179169606.60133487
Dogelon Mars,ELON,178889710.05064857
Eauric,EAURIC,178226162.126426
Venus BTC,vBTC,178219476.91562527
Ontology Gas,ONG,177680205.2472229
Divi,DIVI,176031685.92458054
Handshake,HNS,175390120.095311
ReddCoin,RDD,173365467.6737539
RSK Infrastructure Framework,RIF,169066767.06879616
Aion,AION,168845761.5890281
KardiaChain,KAI,168031243.64812714
Render Token,RNDR,167838072.3132475
MX Token,MX,167333300.87914935
Everipedia,IQ,165750056.90347725
Secret,SCRT,165730476.39759266
Hathor,HTR,165272124.94490007
Enzyme,MLN,162938778.08431503
Oxygen,OXY,162845193.723405
inSure DeFi,SURE,161624876.4782487
Oasis Network,ROSE,160152418.054485
BORA,BORA,157828043.03030103
MonaCoin,MONA,157691133.4377902
Doctors Coin,DRS,157687803.57600835
Populous,PPT,156973168.3748798
Kleros,PNK,154016456.2142198
PARSIQ,PRQ,153520084.74999183
Wrapped NXM,WNXM,153104202.82240307
PAC Protocol,PAC,151422110.3546315
TROY,TROY,148998227.64008576
